word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
cheol,cheol,NOUN,명사,,,,,"Chief of Naval Operations {김경률} Kim Kyung-ryul and Defense Acquisition Program Administration Minister {이용철} Lee Yong-cheol attended CANSEC, Canada’s largest defense and security exhibition, on Thursday.",C1,6.51,False,
entitled,entitle,VERB,동사,/ənˈtaɪtəl/,give the right to,,The Freedom of Information Act entitles you to request your FBI file,Those aged eighteen or over who have held permanent residency for at least three years and are registered on their local government's foreign residents list are entitled to vote — though not in the parliamentary by-elections.,C1,6.2899,False,ennoble|gentle|title
overpass,overpass,NOUN,명사,,bridge formed by the upper level of a crossing of two highways at different levels,,"The homeless man had built a little shelter, complete with cook-stove, beneath a concrete overpass.","#2
President Lee Jae Myung has called for a thorough investigation into the recent fatal overpass collapse and a poor construction of an underground transportation complex in the capital.",C1,6.04,False,flyover
conventionally,conventionally,ADV,부사,,in a conventional manner,,he usually behaves rather conventionally,The visit to Ottawa comes ahead of Canada’s expected decision on a project to replace its aging submarine fleet with up to 12 conventionally powered submarines.,B2,5.9318,False,
gusts,gust,NOUN,명사,,a strong current of air,,the tree was bent almost double by the gust,"Strong winds have been sweeping across much of the country since this afternoon, with gusts reaching over 15 meters per second in many areas.",B2,5.8996,False,blast|blow
plenary,plenary,ADJ,형용사,,full in all respects,,a plenary session of the legislature,"According to the Ministry of National Defense on Thursday, 
Ahn plans to deliver a speech to the plenary session 
to introduce Korea's defense policy 
during the current increasingly volatile security landscape.",B2,5.8996,False,
barometer,barometer,NOUN,명사,/bəˈɹɒmətə(ɹ)/,an instrument that measures atmospheric pressure,,,"The elections are the first nationwide vote since President Lee Jae Myung took office, and are being closely watched as a barometer of the political landscape.",B2,5.821,False,
provocations,provocation,NOUN,명사,/ˌpɹɒvəˈkeɪʃən/,unfriendly behavior that causes anger or resentment,,,"He said U.S. actions in the Gulf, including what Tehran described as provocations against commercial vessels and strikes on Iranian territory, were ""gross violations"" of the ceasefire.",B2,5.8097,False,aggravation|incitation|incitement|irritation
ceasefire,ceasefire,NOUN,명사,,"In warfare, an agreed end to hostilities for a specific purpose. (Typically only temporary).",,The rebels agreed to a ceasefire while the peace talks were underway.,Iran's foreign ministry spokesperson accused Washington of repeatedly violating the ceasefire agreed to on April 8.,B2,5.6799,True,
escalating,escalate,VERB,동사,/ˈɛs.kə.leɪt/,increase in extent or intensity,,The Allies escalated the bombing,"Minister Lee outlined South Korea's proposal to local broadcaster CBC --- which includes guaranteed technology transfers, domestic supply chain integration, and long-term maintenance based in Canada.

#4
Tensions between the U.S. and Iran are escalating again near the Strait of Hormuz.",B2,5.6498,False,intensify|step up
reinforcement,reinforcement,NOUN,명사,/ˌɹiːɪnˈfɔː(ɹ)smənt/,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,,they called for artillery support,"This week, the collapse of the overpass in Seoul killed three people, while controversy has been recently raised over a report that found reinforcement bars were largely missing from the construction.",B2,5.5702,False,reenforcement|reinforcer|reinforcing stimulus|reward|strengthener|support
keynote,keynote,ADJ,형용사,,the principal theme in a speech or literary work,,,"Vietnam's President To Lam is set to deliver the keynote speech 
on the first day of the forum on Friday.",B2,5.52,False,tonic
overlooked,overlook,VERB,동사,/əʊvəˈlʊk/,a high place affording a good view,,,"Speaking at a weekly meeting with his aides on Thursday, Lee pointed out cases where safety has been overlooked due to cost issues.",B2,5.4698,False,command|dominate|drop|leave out|look across|look out on|look out over|miss|neglect|omit|overleap|overtop|pretermit
blackout,blackout,NOUN,명사,/ˈblækaʊt/,a suspension of radio or tv broadcasting,,,Thursday also marks the start of a polling blackout — meaning no new survey results can be published until polls close on election day.,B2,5.4202,False,amnesia|brownout|dimout|memory loss
strait,strait,NOUN,명사,/stɹeɪt/,a narrow channel of the sea joining two larger bodies of water,,The Strait of Gibraltar,"The U.S. military, however, argues that American forces shot down four Iranian suicide drones near the strait, after they allegedly posed a threat to commercial vessels and U.S. personnel.",B2,5.4001,False,pass|sound|straits
broadcaster,broadcaster,NOUN,명사,,someone who broadcasts on radio or television,,,"Minister Lee outlined South Korea's proposal to local broadcaster CBC --- which includes guaranteed technology transfers, domestic supply chain integration, and long-term maintenance based in Canada.

#4
Tensions between the U.S. and Iran are escalating again near the Strait of Hormuz.",B2,5.3696,False,spreader
spokesperson,spokesperson,NOUN,명사,,an advocate who represents someone else's policy or purpose,,the meeting was attended by spokespersons for all the major organs of government,Iran's foreign ministry spokesperson accused Washington of repeatedly violating the ceasefire agreed to on April 8.,B2,5.3595,False,interpreter|representative|voice
aides,aide,NOUN,명사,/eɪd/,an officer who acts as military assistant to a more senior officer,,,"Speaking at a weekly meeting with his aides on Thursday, Lee pointed out cases where safety has been overlooked due to cost issues.",B2,5.3098,False,adjutant|aide-de-camp|auxiliary
counterparts,counterpart,NOUN,명사,,a person or thing having the same function or characteristics as another,,,"Joining the summit will be his counterparts from key nations, 
including the United States, Japan, and other European and Indo-Pacific partners.",B2,5.3002,False,opposite number|similitude|twin|vis-a-vis
residency,residency,NOUN,명사,/ˈɹɛzɪdənsi/,the act of dwelling in a place,,,Those aged eighteen or over who have held permanent residency for at least three years and are registered on their local government's foreign residents list are entitled to vote — though not in the parliamentary by-elections.,B2,5.3002,False,abidance|residence
accused,accuse,VERB,동사,/əˈkjuːz/,bring an accusation against; level a charge against,,The neighbors accused the man of spousal abuse,Iran's foreign ministry spokesperson accused Washington of repeatedly violating the ceasefire agreed to on April 8.,B2,5.2899,False,charge|criminate|impeach|incriminate
volatile,volatile,ADJ,형용사,,a volatile substance; a substance that changes readily from solid or liquid to a vapor,,it was heated to evaporate the volatiles,"According to the Ministry of National Defense on Thursday, 
Ahn plans to deliver a speech to the plenary session 
to introduce Korea's defense policy 
during the current increasingly volatile security landscape.",B2,5.2798,True,explosive|fickle
scrutiny,scrutiny,NOUN,명사,,the act of examining something closely (as for mistakes),,,"Meanwhile, the keynote address from U.S. Defense Secretary Pete Hegseth, 
Is set to be delivered the following day, 
with high scrutiny expected from Asian allies.",B2,5.2596,False,examination
violating,violate,VERB,동사,/ˈvaɪəˌleɪt/,fail to agree with; be in violation of; as of rules or patterns,,This sentence violates the rules of syntax,Iran's foreign ministry spokesperson accused Washington of repeatedly violating the ceasefire agreed to on April 8.,B2,5.2503,False,assault|breach|break|desecrate|dishonor|dishonour|go against|infract|offend|outrage|profane|rape|ravish|transgress
trillion,trillion,NUM,,/ˈtɹɪljən/,a very large indefinite number (usually hyperbole),,there were millions of flies,"#3
South Korea is making a final push to secure a major Canadian submarine contract estimated to be worth up to 60 trillion won, or roughly 40 billion U.S. dollars.",B2,5.2097,False,1000000000000|billion|gazillion|jillion|million|one million million|one million million million|zillion
According,accord,VERB,동사,,harmony of people's opinions or actions or characters,,the two parties were in agreement,"According to the Ministry of National Defense on Thursday, 
Ahn plans to deliver a speech to the plenary session 
to introduce Korea's defense policy 
during the current increasingly volatile security landscape.",B2,5.1898,False,accordance|agree|agreement|concord|conformity|consort|fit in|harmonise|harmonize|pact|treaty
eighteen,eighteen,NUM,,/ˈeɪ.tiːn/,the cardinal number that is the sum of seventeen and one,,,Those aged eighteen or over who have held permanent residency for at least three years and are registered on their local government's foreign residents list are entitled to vote — though not in the parliamentary by-elections.,B2,5.1898,False,18|XVIII|xviii
submarine,submarine,NOUN,명사,/sʌb.məˈɹiːn/,a submersible warship usually armed with torpedoes,,,"#3
South Korea is making a final push to secure a major Canadian submarine contract estimated to be worth up to 60 trillion won, or roughly 40 billion U.S. dollars.",B2,5.1898,False,Cuban sandwich|Italian sandwich|U-boat|bomber|grinder|hero|hero sandwich|hoagie|hoagy|pigboat|poor boy|sub|submarine sandwich|torpedo|wedge
polling,polling,NOUN,명사,/pɔl/,get the opinions (of people) by asking specific questions,,,For two days — Friday and Saturday — polling stations will be open from six in the morning until six in the evening.,B2,5.1701,False,canvas|canvass|poll|pollard
sovereignty,sovereignty,NOUN,명사,/ˈsɒv.ɹən.ti/,government free from external control,,,Iran also warned it was ready to take all necessary measures under the UN Charter to defend its territory and sovereignty.,B2,5.1403,True,reign
