word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,"#5
South Korea’s consumer inflation held steady at 2-point-zero percent in February, according to data released by the Ministry of Data and Statistics on Friday.",C1,6.4802,False,data point
unconcerned,unconcerned,ADJ,형용사,,lacking in interest or care or feeling,,the average American...is unconcerned that his or her plight is the result of a complex of personal and economic and governmental actions...beyond the normal citizen's comprehension and control,"Global oil prices have surged by roughly 16 percent in roughly a weeks' time, but U.S. President Donald Trump is unconcerned, 
as he stated during an interview with Reuters on Thursday that 
the current rise in gasoline prices globally
and its consequent impact on the U.S market is not as critical an issue
 compared to the necessity of military action against the Iranian regime.",C1,6.2596,False,
skyrocket,skyrocket,VERB,동사,,"propels bright light high in the sky, or used to propel a lifesaving line or harpoon",,,"#4
The closure of the Hormuz Strait has caused oil and gas prices to skyrocket 
and driven global energy trade into turmoil.",C1,6.2097,False,rocket
centimeters,centimeter,NOUN,명사,,a metric unit of length equal to one hundredth of a meter,,,"Meanwhile, mountainous regions of Gangwon State could see 1 to 3 centimeters of snowfall.",C1,6.1101,False,centimetre|cm
consequent,consequent,ADJ,형용사,/ˈkɑn.sɪ.kwənt/,following or accompanying as a consequence,,"an excessive growth of bureaucracy, with attendant problems","Global oil prices have surged by roughly 16 percent in roughly a weeks' time, but U.S. President Donald Trump is unconcerned, 
as he stated during an interview with Reuters on Thursday that 
the current rise in gasoline prices globally
and its consequent impact on the U.S market is not as critical an issue
 compared to the necessity of military action against the Iranian regime.",B2,5.9788,False,accompanying|attendant|concomitant|ensuant|incidental|resultant|sequent
intensify,intensify,VERB,동사,,increase in extent or intensity,,The Allies escalated the bombing,"The conflict also continues to intensify in Lebanon.

#2
Presidential chief of staff Kang Hoon-sik said on Friday that a passenger flight carrying South Korean nationals had left Dubai and was scheduled to arrive at Incheon International Airport this evening.",B2,5.8386,False,compound|deepen|escalate|heighten|step up
snowfall,snowfall,NOUN,명사,/ˈsnoʊfɔːl/,precipitation falling from clouds in the form of ice crystals,,There has been snowfall every day this week.,"Meanwhile, mountainous regions of Gangwon State could see 1 to 3 centimeters of snowfall.",B2,5.7799,False,snow
mountainous,mountainous,ADJ,형용사,/ˈmaʊntɪnəs/,having hills and crags,,hilly terrain,"Meanwhile, mountainous regions of Gangwon State could see 1 to 3 centimeters of snowfall.",B2,5.6198,False,cragged|craggy|hilly
scattered,scatter,VERB,동사,/ˈskætə/,a haphazard distribution in all directions,,,"Although the main band of heavy rain has moved away, scattered rain and snow will continue until tonight across the central regions and Jeonbuk State.",B2,5.6108,False,break up|dispel|disperse|dissipate|dot|dust|scattering|spread|spread out|sprinkle|strewing
contingency,contingency,NOUN,명사,/kənˈtɪndʒənsi/,a possible event or occurrence or result,,,"#3 
South Korea will import six million barrels of crude oil 
from the United Arab Emirates as a contingency measure 
following the closure of the Strait of Hormuz, 
through which about 70 percent of its crude oil imports pass.",B2,5.5607,True,contingence|eventuality
tankers,tanker,NOUN,명사,,a cargo ship designed to carry crude oil in bulk,,,"Presidential Chief of Staff Kang Hoon-sik said on Friday that 
two Korean oil tankers will be loaded with a combined four million barrels supplied by the Abu Dhabi National Oil Company.",B2,5.5607,False,oil tanker|oiler|tank driver|tank ship
chilly,chilly,ADJ,형용사,,very hot and finely tapering pepper of special pungency,,,"Moving to the weather forecast,
Spring feels far away with icy rain and chilly winds.",B2,5.5003,False,chile|chili|chili pepper|chilli|parky
turmoil,turmoil,NOUN,명사,/ˈtɜːmɔɪl/,a violent disturbance,,the convulsions of the stock market,"#4
The closure of the Hormuz Strait has caused oil and gas prices to skyrocket 
and driven global energy trade into turmoil.",B2,5.4802,False,agitation|convulsion|excitement|hullabaloo|tumult|upheaval
