word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
internationalizing,internationalize,VERB,동사,,put under international control,,internationalize trade of certain drugs,"He outlined four core objectives for his four-year term: stabilizing prices and financial markets, expanding financial monitoring into non-bank sectors, internationalizing the Korean won through a 24-hour foreign exchange market, and taking an active role in national structural reforms.",C2,7.3497,False,internationalise
naphtha,naphtha,NOUN,명사,/ˈnæfθə/,any of various volatile flammable liquid hydrocarbon mixtures; used chiefly as solvents,,,"Monday's summit yielded key deliverables, such as strengthening cooperation on a stable supply of energy resources and naphtha.",C1,6.8697,False,
deliverables,deliverable,NOUN,명사,/dɪˈlɪvɹəbəɫ/,something that can be provided as the product of development,,under this contract the deliverables include both software and hardware,"Monday's summit yielded key deliverables, such as strengthening cooperation on a stable supply of energy resources and naphtha.",C1,6.5702,False,
flexibly,flexibly,ADV,부사,,with flexibility,,"`Come whenever you are free,' he said flexibly",Some experts view that the U.S. administration interpreted the two-week timeframe flexibly to allow more time for negotiations.,C1,6.5302,False,
exacerbated,exacerbate,VERB,동사,/ɪkˈsæs-/,make worse,,This drug aggravates the pain,"In his inaugural address on Tuesday, the new governor emphasized that the domestic economy faces dual pressures of inflation and slowing growth, exacerbated by the Middle East conflict and volatile global oil prices.",C1,6.0799,False,aggravate|exasperate|worsen
seok,seok,NOUN,명사,,,,,"Emphasizing the urgency, Prime Minister Kim Min-seok said, ""speed is of the essence"" for the war-related supplementary budget.",C1,6.06,False,
expedite,expedite,VERB,동사,,speed up the progress of; facilitate,,This should expedite the process,"Kim urged local authorities to expedite the execution of twenty major projects, including the relief funding, to provide timely assistance to the public.",B2,5.9508,False,hasten
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"Some 20 to 60 millimeters of rain is expected to fall on Jeju Island, while Jeollanam-do and Gyeongsangnam-do Provinces will also see showers.",B2,5.8697,False,millimetre|mm
tentatively,tentatively,ADV,부사,/ˈtɛntətɪvli/,in a tentative manner,,we agreed tentatively on a dinner date,The meeting included a signing ceremony for a joint film project... tentatively titled..,B2,5.8601,False,
geopolitical,geopolitical,ADJ,형용사,,of or relating to geopolitics,,,The South Korean stock market showed strong momentum on Tuesday as investor optimism over potential diplomatic breakthroughs outweighed geopolitical risks in the Middle East.,B2,5.8508,True,
timeframe,timeframe,NOUN,명사,,"The period of time during which something is expected to occur, or does occur.",,,Some experts view that the U.S. administration interpreted the two-week timeframe flexibly to allow more time for negotiations.,B2,5.8386,False,
outweighed,outweigh,VERB,동사,/ˌaʊtˈweɪ/,be heavier than,,,The South Korean stock market showed strong momentum on Tuesday as investor optimism over potential diplomatic breakthroughs outweighed geopolitical risks in the Middle East.,B2,5.7305,False,outbalance|overbalance|preponderate
lingering,linger,VERB,동사,/ˈlɪŋɡə/,remain present although waning or gradually dying,,Her perfume lingered on,"Because of the lingering dust, air quality will remain poor across the country.",B2,5.6904,False,dawdle|footle|hang around|hover|lallygag|loaf|loiter|lollygag|lounge|lurk|mess about|mill about|mill around|tarry
prioritized,prioritize,VERB,동사,/pɹaɪˈɒɹətaɪz/,assign a priority to,,we have too many things to do and must prioritize,"According to a Ministry of the Interior and Safety meeting on Tuesday, vulnerable groups, including low-income households and single-parent families, will be prioritized for the relief funding from April 27 to May 8.",B2,5.6904,False,prioritise
ceasefire,ceasefire,NOUN,명사,,"In warfare, an agreed end to hostilities for a specific purpose. (Typically only temporary).",,The rebels agreed to a ceasefire while the peace talks were underway.,"President Donald Trump has pushed the ceasefire deadline with Iran to Wednesday evening Washington time, after earlier expectations it would expire Tuesday -- leading to some international confusion over the timeline.",B2,5.6799,True,
supplementary,supplementary,ADJ,형용사,,functioning in a supporting capacity,,the main library and its auxiliary branches,"Emphasizing the urgency, Prime Minister Kim Min-seok said, ""speed is of the essence"" for the war-related supplementary budget.",B2,5.6402,False,auxiliary|subsidiary|supplemental
