word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
geoheritage,geoheritage,NOUN,명사,,,,,"#5
Scientists and heritage experts from around the world gathered in Busan for an international symposium on Wednesday on the future of geoheritage conservation.",C2,8.0,False,
unexploded,unexplode,VERB,동사,,still capable of exploding or being fired,,undischarged ammunition,"Officials added that unexploded high-explosive material was identified, while the fuselage debris was painted sky blue, matching the coating and color used on Iran’s Noor-series anti-ship missiles.",C2,8.0,False,undischarged
hynix,hynix,NOUN,명사,,,,,"The relentless rally in the memory-chip sector is gaining traction, 
propelling the market values of both Micron Technology and SK hynix past the 1 trillion dollar milestone for the first time.",C2,7.1302,False,
turbojet,turbojet,NOUN,명사,,an airplane propelled by a fanjet engine,,,"The government says debris recovered from the vessel included components resembling an Iranian-made Toloue-4 turbojet engine, along with markings believed to be from an Iranian manufacturer.",C1,6.8894,False,fan-jet|fanjet|fanjet engine|turbofan|turbofan engine|turbojet engine
sidecar,sidecar,NOUN,명사,,a cocktail made of orange liqueur with lemon juice and brandy,,,"According to the KRX, a buy-side sidecar was activated 
at approximately 9:06 AM, suspending KOSPI futures buy orders for five minutes.",C1,6.4597,False,
ablaze,ablaze,NOUN,명사,/əˈbleɪz/,keenly excited (especially sexually) or indicating excitement; - Bram Stoker,,his face all ablaze with excitement,"And We start with the top headlines at this hour
#1
Iranian anti-ship missiles were likely used in the attack that set a Korean vessel ablaze near the Strait of Hormuz earlier this month, prompting Seoul to lodge a strong protest and request an apology from Tehran.",C1,6.0701,False,afire|aflame|aflare|alight|aroused|inflamed|on fire|reddened
symbolizing,symbolize,VERB,동사,,"express indirectly by an image, form, or model; be a symbol",,What does the Statue of Liberty symbolize?,"The Blue House said the key visual for the event will be a ""light"" symbolizing democracy and a ""road"" for all people.",B2,5.9586,False,represent|stand for|symbolise|typify
fuselage,fuselage,NOUN,명사,/ˈfjuːzəˌlɑːʒ/,the central body of an airplane that is designed to accommodate the crew and passengers (or cargo),,,"Officials added that unexploded high-explosive material was identified, while the fuselage debris was painted sky blue, matching the coating and color used on Iran’s Noor-series anti-ship missiles.",B2,5.9101,False,
propelling,propel,VERB,동사,,cause to move forward with force,,Steam propels this ship,"The relentless rally in the memory-chip sector is gaining traction, 
propelling the market values of both Micron Technology and SK hynix past the 1 trillion dollar milestone for the first time.",B2,5.8386,False,actuate|impel|incite|motivate|move|prompt
recurrence,recurrence,NOUN,명사,,happening again (especially at regular intervals),,the return of spring,"Park said Seoul would summon the Iranian ambassador, convey a strong protest, and demand an apology along with responsible measures to prevent a recurrence.",B2,5.8013,False,return
unveiled,unveil,VERB,동사,/ʌnˈveɪl/,remove the veil from,,Women must not unveil themselves in public in Islamic societies,"At a briefing Wednesday, First Vice Foreign Minister Park Yoon-joo unveiled the results of a government probe into the attack on the HMM Namu.",B2,5.8013,False,bring out|reveal|uncover
relentless,relentless,ADJ,형용사,,not to be placated or appeased or moved by entreaty,,grim determination,"The relentless rally in the memory-chip sector is gaining traction, 
propelling the market values of both Micron Technology and SK hynix past the 1 trillion dollar milestone for the first time.",B2,5.4895,False,grim|inexorable|persistent|stern|unappeasable|unforgiving|unrelenting
