word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
liquefied,liquefy,VERB,동사,/ˈlɪkwɪfaɪ/,become liquid,,The garden air overnight liquefied into a morning dew,"Seoul and Canberra will work together to secure energy resource supply chains,... including diesel, liquid fuels and liquefied natural gas.",C1,6.821,False,flux|liquidise|liquidize|liquify
stationing,stationing,NOUN,명사,,assign to a station,,I was stationed on the pier.,She added that Seoul is closely coordinating with the U.S. forces for the stable stationing of its troops and the allies' robust joint defense readiness.,C1,6.719,False,place|post|send|station
data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,"According to data released on Thursday by the Ministry of Data and Statistics, overall industrial production rose zero-point-three percent from the previous month, extending gains for a second consecutive month.",C1,6.4802,False,data point
predates,predate,VERB,동사,/ˈpɹiːˌdeɪt/,be earlier in time; go back further,,Stone tools precede bronze tools,"The March data showed some positive numbers, but it largely reflects momentum that predates the Middle East conflict.",C1,6.4101,False,antecede|antedate|foredate|forego|forgo|precede|prey|raven
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"Rain is set to move in later today, affecting southern Chungcheong-do, the eastern parts of Jeolla-do, and the Gyeongsang-do provinces, with about five to ten millimeters expected.",B2,5.8697,False,millimetre|mm
deepening,deepen,VERB,동사,/ˈdiːpən/,"make more intense, stronger, or more marked; ,",,The efforts were intensified,"The joint document says the two sides are working together to strengthen energy resource supply chain resilience,... including through deepening regional cooperation,... and accelerating energy transition.",B2,5.8097,False,change|compound|heighten|intensify
ripple,ripple,ADJ,형용사,/ˈɹɪp(ə)l/,a small wave on the surface of a liquid,,I dropped a small stone into the pond and watched the ripples spread.,"The two countries shared deep concern over the recent situation in the Middle East,... and its ripple effects on regional energy resources and other key raw materials.",B2,5.5901,False,babble|bubble|burble|cockle|guggle|gurgle|riffle|rippling|ruffle|undulate|wavelet
envoy,envoy,NOUN,명사,/ˈɛn.vɔɪ/,a diplomat having less authority than an ambassador,,,"Seoul has reinforced vital dialogue channels with Tehran,... through the recent visit of a special envoy to Iran.",B2,5.52,False,emissary|envoi|envoy extraordinary|minister plenipotentiary
alarming,alarming,ADJ,형용사,/ə.ˈlɑːm.ɪŋ/,fill with apprehension or alarm; cause to be unpleasantly surprised,,I was horrified at the thought of being late for my interview,"While it might sound alarming, an official from the Ministry of Data and Statistics said this was due to a base effect.",B2,5.4698,False,alarm|alert|appal|appall|dismay|horrify
semiconductor,semiconductor,NOUN,명사,,a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities,,,"The official explained that the semiconductor sector saw the decline in March following a 28-point-2 percent surge the previous month, noting that its performance remains strong.",B2,5.4698,False,semiconducting material|semiconductor device|semiconductor unit
garner,garner,VERB,동사,,a storehouse for threshed grain or animal feed,,,he maintained that workers garner strength... through solidarity... given their vulnerable position... in the labor market.,B2,5.4498,False,collect|earn|gather|granary|pull together
resilience,resilience,NOUN,명사,/ɹə.zɪl.ɪ.əns/,the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit,,,"The joint document says the two sides are working together to strengthen energy resource supply chain resilience,... including through deepening regional cooperation,... and accelerating energy transition.",B2,5.4202,False,resiliency
disrupt,disrupt,VERB,동사,/dɪsˈɹʌpt/,make a break in,,We interrupt the program for the following messages,"The visit was made in a rare high-level diplomatic push,… as tensions in the Middle East continue to disrupt global shipping routes.",B2,5.4101,False,break up|cut off|interrupt
readiness,readiness,NOUN,명사,,the state of having been made ready or prepared for use or action (especially military action),,putting them in readiness,She added that Seoul is closely coordinating with the U.S. forces for the stable stationing of its troops and the allies' robust joint defense readiness.,B2,5.4101,False,eagerness|facility|forwardness|preparation|preparedness|set|zeal
spokesperson,spokesperson,NOUN,명사,,an advocate who represents someone else's policy or purpose,,the meeting was attended by spokespersons for all the major organs of government,"That's according to senior Blue House spokesperson Kang Yu-jung on Thursday, when asked about U.S. President Donald Trump's social media post indicating a possible reduction of American troops in Germany.",B2,5.3595,False,interpreter|representative|voice
posture,posture,NOUN,명사,/ˈpɒstʃə/,the arrangement of the body and its limbs,,he assumed an attitude of surrender,Kang said that the government is paying attention to a possible change in U.S. combat posture around the world.,B2,5.3497,False,attitude|bearing|carriage|military capability|military posture|military strength|pose|position|stance|strength
accelerating,accelerate,VERB,동사,/æk.ˈsɛl.ə.ˌɹeɪt/,move faster,,The car accelerated,"The joint document says the two sides are working together to strengthen energy resource supply chain resilience,... including through deepening regional cooperation,... and accelerating energy transition.",B2,5.3401,False,quicken|speed|speed up
backlash,backlash,NOUN,명사,/ˈbækˌlæʃ/,a movement back from an impact,,,"he warned that ""excessive demands"" by some organized labor groups... could face public backlash... and ultimately harm workers.",B2,5.3401,False,backfire|rebound|recoil|repercussion
remarks,remark,NOUN,명사,/ɹɪˈmɑːk/,a statement that expresses a personal opinion or belief or adds information,,from time to time she contributed a personal comment on his account,His remarks come... as tens of thousands of Samsung Electronics workers are set to go on strike... starting May 21st... for higher bonuses.,B2,5.3401,False,comment|input|mention|note|notice|observe|point out
outreach,outreach,NOUN,명사,,the act of reaching out,,the outreach toward truth of the human spirit,"The official revealed that Ambassador Chung Byung-ha returned to Seoul on Monday,... after two weeks of diplomatic outreach in Tehran on behalf of Foreign Minister Cho Hyun.",B2,5.3197,False,
reinforced,reinforce,VERB,동사,/ˌɹiːɪnˈfɔː(ɹ)s/,make stronger,,he reinforced the concrete,"Seoul has reinforced vital dialogue channels with Tehran,... through the recent visit of a special envoy to Iran.",B2,5.3197,False,reenforce|reward
aides,aide,NOUN,명사,/eɪd/,an officer who acts as military assistant to a more senior officer,,,Speaking at a weekly meeting... with his top aides... on this Thursday...,B2,5.3098,False,adjutant|aide-de-camp|auxiliary
troops,troop,NOUN,명사,/tɹuːp/,a group of soldiers,,,"That's according to senior Blue House spokesperson Kang Yu-jung on Thursday, when asked about U.S. President Donald Trump's social media post indicating a possible reduction of American troops in Germany.",B2,5.3098,False,flock|parade|promenade|scout group|scout troop
