word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
haetae,haetae,NOUN,명사,,,,,"For General Secretary To Lam, the gifts featured a traditional Korean painting of the mythical creature haetae and a pine tree, symbols of justice and integrity, along with a speaker bearing a caricature of the couple, reflecting his appreciation for classical music.",C2,8.0,False,
data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,South Korea's probe into the U.S.-listed company... for its massive data leak... is discrimination.,C1,6.4802,False,data point
fluctuations,fluctuation,NOUN,명사,,a wave motion,,the fluctuations of the sea,"With international price fluctuations typically taking two to three weeks to reach local gas stations, the full impact of the recent crude surge has yet to be realized.",C1,6.1101,True,variation|wavering
lawmakers,lawmaker,NOUN,명사,,a maker of laws; someone who gives a code of laws,,,he was in contact with the Republican lawmakers... who recently sent a letter... regarding Coupang... to South Korean Ambassador to the U.S.,B2,5.9318,False,lawgiver
geopolitical,geopolitical,ADJ,형용사,,of or relating to geopolitics,,,"Brent crude futures closed at 105.07 dollars per barrel, and U.S. West Texas Intermediate reached 95.85 dollars amid ongoing geopolitical escalations.",B2,5.8508,True,
biotech,biotech,ADJ,형용사,,the branch of molecular biology that studies the use of microorganisms to perform specific industrial processes,,biotechnology produced genetically altered bacteria that solved the problem,"The significant milestone, last seen in August 2000, came as semiconductor equipment, materials stock, and biotech shares led broad gains across the index.",B2,5.8386,False,biotechnology
diversify,diversify,VERB,동사,,make (more) diverse,,diversify a course of study,"Kang also said efforts are underway to diversify shipping routes, noting that nearly 24 million barrels from Saudi Arabia and 16 million from the UAE are set to arrive in May through routes that bypass the Strait of Hormuz.",B2,5.8386,False,branch out|broaden|radiate
caricature,caricature,NOUN,명사,/ˈkæɹɪkətʃʊə/,a representation of a person that is exaggerated for comic effect,,,"For General Secretary To Lam, the gifts featured a traditional Korean painting of the mythical creature haetae and a pine tree, symbols of justice and integrity, along with a speaker bearing a caricature of the couple, reflecting his appreciation for classical music.",B2,5.8097,False,ape|imitation|impersonation
escalations,escalation,NOUN,명사,,an increase to counteract a perceived discrepancy,,higher wages caused an escalation of prices,"Brent crude futures closed at 105.07 dollars per barrel, and U.S. West Texas Intermediate reached 95.85 dollars amid ongoing geopolitical escalations.",B2,5.6799,True,
soared,soar,VERB,동사,/sɔː/,the act of rising upward into the air,,,"3.
Korea's tech-heavy KOSDAQ index soared above the one-thousand-200 mark for the first time in over 25 years.",B2,5.6108,False,hang glide|soar up|soar upwards|surge|zoom
mythical,mythical,ADJ,형용사,/ˈmɪθɪkəl/,based on or told of in traditional stories; lacking factual basis or historical validity,,mythical centaurs,"For General Secretary To Lam, the gifts featured a traditional Korean painting of the mythical creature haetae and a pine tree, symbols of justice and integrity, along with a speaker bearing a caricature of the couple, reflecting his appreciation for classical music.",B2,5.5607,False,fabulous|mythic|mythologic|mythological
liter,liter,NOUN,명사,/ˈliː.tə/,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)",,You should be able to fill four cups with one litre of water.,"As of Friday afternoon, the national average for diesel reached 2,000.53 won per liter, crossing the 2,000-won mark for the first time since July 2022.",B2,5.5406,False,cubic decimeter|cubic decimetre|l|litre
