word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
prosecutorial,prosecutorial,ADJ,형용사,,,,,"Ruling party lawmakers say the reform is essential to completing 
the long-standing goal of separating investigative and prosecutorial powers.",C1,6.4001,False,
businesspeople,businesspeople,NOUN,명사,,people who transact business (especially business executives),,,"Most Koreans in Iraq are businesspeople employed by large 
construction firms, which are communicating with Seoul authorities 
on safety and evacuation procedures.",C1,6.3904,False,business people
earnestly,earnestly,ADV,부사,/ˈɜːnɪstli/,in a serious manner,,talking earnestly with his son,"On Thursday, the Foreign Ministry said it is earnestly urging Korean citizens to depart from the three high-risk Middle Eastern nations, 
as the security concerns are rising, especially with the deployment of Israeli troops to Lebanon, and the widening scope of air strikes and drone offensives.",C1,6.1302,False,in earnest|seriously
filibuster,filibuster,NOUN,명사,,a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes,,,"4.
South Korea’s National Assembly has entered a new phase of confrontation, as a plenary session gets underway with a filibuster 
already in progress over a set of contentious prosecution reform bills.",C1,6.1101,False,filibusterer
hoon,hoon,NOUN,명사,,A worthless person; a hooligan or lout.,,,Welcome to Arirang News This is Park Kee hoon,C1,6.0101,False,
deliberations,deliberation,NOUN,명사,/dɪˌlɪbəˈɹeɪʃən/,(usually plural) discussion of all sides of a question,,the deliberations of the jury,"Lawmakers began deliberations Thursday afternoon, 
with the ruling Democratic Party moving to put two key bills to a vote,
the establishment of a new investigation agency for serious crimes 
and a separate public prosecution office.",B2,5.9393,False,advisement|calculation|deliberateness|slowness|unhurriedness|weighing
worsening,worsen,VERB,동사,/ˈwɜː(r)sən/,grow worse,,Conditions in the slum worsened,"3.
South Korea is urging its citizens to quickly leave Iran, Iraq and Lebanon, amid the worsening situation in the Middle East.",B2,5.9393,False,aggravate|decline|exacerbate|exasperate
Lawmakers,lawmaker,NOUN,명사,,a maker of laws; someone who gives a code of laws,,,"Lawmakers began deliberations Thursday afternoon, 
with the ruling Democratic Party moving to put two key bills to a vote,
the establishment of a new investigation agency for serious crimes 
and a separate public prosecution office.",B2,5.9318,False,lawgiver
plenary,plenary,ADJ,형용사,/ˈpliːnəɹi/,full in all respects,,a plenary session of the legislature,"4.
South Korea’s National Assembly has entered a new phase of confrontation, as a plenary session gets underway with a filibuster 
already in progress over a set of contentious prosecution reform bills.",B2,5.8996,False,
Geopolitical,geopolitical,ADJ,형용사,,of or relating to geopolitics,,,Geopolitical uncertainty and higher energy costs are putting strong pressure on the value of the Korean currency.,B2,5.8508,True,
widening,widen,VERB,동사,/ˈwaɪdən/,become broader or wider or more extensive,,The road widened,"On Thursday, the Foreign Ministry said it is earnestly urging Korean citizens to depart from the three high-risk Middle Eastern nations, 
as the security concerns are rising, especially with the deployment of Israeli troops to Lebanon, and the widening scope of air strikes and drone offensives.",B2,5.7496,False,broaden|extend|let out
