word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
MLRS,mlrs,NOUN,명사,,,,,"The state-run KCNA,... reported that long-range artillery units of the Korean People's Army carried out a live-fire strike drill in western areas, the previous day,... using 12 MLRS units, manned by two artillery companies, firing 600-millimeter ultra-precision rockets.",C2,7.3696,False,
multirole,multirole,ADJ,형용사,,"Pertaining to, or serving in, many roles.",,,"A KC-330 Cygnus multirole aerial tanker landed at Seoul Air Base in Seongnam, just south of the capital, at 5:59 PM, bringing home 204 South Korean nationals and seven foreign citizens from Saudi Arabia.",C2,7.2,False,
evacuees,evacuee,NOUN,명사,,a person who has been evacuated from a dangerous place,,,"A South Korean military transport aircraft carrying evacuees from the Middle East arrived in Seoul on Sunday evening, marking the first airlift evacuation using a military plane since the Middle East conflict escalated last month.",C2,7.0701,False,evacuee
countermeasures,countermeasure,NOUN,명사,,an action taken to offset another action,,"We fear that this will be the beginning of a negative development of measures and countermeasures, at the end of which there will be no winner CNN-money, Why President Trump's obsession with German cars is misplaced, Jackie Wattles and Charles Riley, May 31, 2018",Authorities are also hammering out this year's first supplementary budget which they plan to submit to the National Assembly by the end of March as part of countermeasures to address the economic fallout from the conflict in the Middle East.,C1,6.6108,False,
uneasiness,uneasiness,NOUN,명사,,feelings of anxiety that make you tense and irritable,,,Kim Jong-un underlined that the drill was to cause uneasiness among forces hostile to the North; enemies within a 4-hundred-20 kilometer strike range.,C1,6.4895,False,disquiet|disquietude|edginess|inquietude|malaise|queasiness|restlessness|self-consciousness|uncomfortableness|unease
codenamed,codename,VERB,동사,,"A name used to clandestinely identify somebody or something, either for military or espionage purposes, or for commercial confidentiality.",,,"The evacuation mission, codenamed “Desert Shine,” was launched as thousands of South Koreans remained stranded across the Middle East due to widespread flight disruptions amid the expanding war between U.S.-Israeli forces and Iran.",C1,6.4001,False,
airlift,airlift,NOUN,명사,/ˈɛə.lɪft/,transportation of people or goods by air (especially when other means of access are unavailable),,,"A South Korean military transport aircraft carrying evacuees from the Middle East arrived in Seoul on Sunday evening, marking the first airlift evacuation using a military plane since the Middle East conflict escalated last month.",C1,6.1302,False,lift
sequentially,sequentially,ADV,부사,,in a consecutive manner,,we numbered the papers consecutively,"The media also added the rockets hit an island target about 3-hundred-64-point 4 kilometers away in the East Sea with an accuracy of one-hundred-percent,... and released photos showing the rockets being launched sequentially.",C1,6.1302,False,consecutive
midweek,midweek,NOUN,명사,,the fourth day of the week; the third working day,,,"Heading into midweek, clouds will increase on Wednesday, with some morning rain or drizzle possible before skies gradually clear later in the day.",C1,6.0799,False,Midweek|Wed|Wednesday
underlined,underline,VERB,동사,,a line drawn underneath (especially under written matter),,Her gesture emphasized her words,Kim Jong-un underlined that the drill was to cause uneasiness among forces hostile to the North; enemies within a 4-hundred-20 kilometer strike range.,C1,6.02,False,emphasise|emphasize|underscore
pacifist,pacifist,ADJ,형용사,/ˈpæsɪfɪst/,someone opposed to violence as a means of settling disputes,,Mahatma Gandhi was one of the world's most famous pacifists.,"Other countries have so far maintained a cautious stance,... including Japan, where its pacifist constitution limits its use of force.",B2,5.9318,False,disarmer|dovish|pacificist|pacifistic
millimeter,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"North Korea conducted a firepower strike drill using 600-millimeter ultra-precision multiple launch rocket systems,... with the participation of North Korean leader Kim Jong-un,... accompanied by his daughter Ju-ae,... according to the Korean Central News Agency on Sunday.",B2,5.8697,False,millimetre|mm
Animated,animate,VERB,동사,,heighten or intensify,,These paintings exalt the imagination,"5.
KPop Demon Hunters captured the Oscar for Best Animated Feature at the 98th Academy Awards.",B2,5.8601,False,animise|animize|enliven|exalt|inspire|invigorate|liven|liven up|quicken|reanimate|recreate|renovate|repair|revive|revivify
hazy,hazy,ADJ,형용사,,filled or abounding with fog or mist,,a brumous October morning,"Moving to weather forecast,
Tomorrow in Seoul will be mostly hazy but mild, with daytime temperatures reaching around 15 degrees Celsius, while the morning starts cool at about 3 degrees.",B2,5.8601,False,bleary|blurred|blurry|brumous|foggy|fuzzy|misty|muzzy
drizzle,drizzle,NOUN,명사,,very light rain; stronger than mist but less than a shower,,,"Heading into midweek, clouds will increase on Wednesday, with some morning rain or drizzle possible before skies gradually clear later in the day.",B2,5.8508,False,mizzle|moisten
kilometer,kilometer,NOUN,명사,,a metric unit of length equal to 1000 meters (or 0.621371 miles),,,Kim Jong-un underlined that the drill was to cause uneasiness among forces hostile to the North; enemies within a 4-hundred-20 kilometer strike range.,B2,5.8097,False,kilometre|klick|km
firepower,firepower,NOUN,명사,,(military) the relative capacity for delivering fire on a target,,,"North Korea conducted a firepower strike drill using 600-millimeter ultra-precision multiple launch rocket systems,... with the participation of North Korean leader Kim Jong-un,... accompanied by his daughter Ju-ae,... according to the Korean Central News Agency on Sunday.",B2,5.7305,False,
escalated,escalate,VERB,동사,/ˈɛs.kə.leɪt/,increase in extent or intensity,,The Allies escalated the bombing,"A South Korean military transport aircraft carrying evacuees from the Middle East arrived in Seoul on Sunday evening, marking the first airlift evacuation using a military plane since the Middle East conflict escalated last month.",B2,5.6498,False,intensify|step up
supplementary,supplementary,ADJ,형용사,,functioning in a supporting capacity,,the main library and its auxiliary branches,Authorities are also hammering out this year's first supplementary budget which they plan to submit to the National Assembly by the end of March as part of countermeasures to address the economic fallout from the conflict in the Middle East.,B2,5.6402,False,auxiliary|subsidiary|supplemental
tanker,tanker,NOUN,명사,,a cargo ship designed to carry crude oil in bulk,,,"A KC-330 Cygnus multirole aerial tanker landed at Seoul Air Base in Seongnam, just south of the capital, at 5:59 PM, bringing home 204 South Korean nationals and seven foreign citizens from Saudi Arabia.",B2,5.5607,False,oil tanker|oiler|tank driver|tank ship
ballistic,ballistic,ADJ,형용사,,relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity,,ballistic missile,This comes a day after South Korea's Joint Chiefs of Staff said it detected more than ten ballistic missiles launched from the Sunan area of North Korea toward the East Sea at around 1:20 PM on Saturday.,B2,5.52,True,
strait,strait,NOUN,명사,/stɹeɪt/,a narrow channel of the sea joining two larger bodies of water,,The Strait of Gibraltar,"Trump made the comment in a social media post on Saturday, with the appeal targeting countries heavily dependent on oil passing through the strait, which carries about 20 percent of the world's oil.",B2,5.4001,False,pass|sound|straits
daytime,daytime,ADJ,형용사,,the time after sunrise and before sunset while it is light outside,,the dawn turned night into day,"Moving to weather forecast,
Tomorrow in Seoul will be mostly hazy but mild, with daytime temperatures reaching around 15 degrees Celsius, while the morning starts cool at about 3 degrees.",B2,5.3401,False,day|daylight
stranded,strand,VERB,동사,/stɹænd/,a pattern forming a unity within a larger structural whole,,he tried to pick up the strands of his former life,"The evacuation mission, codenamed “Desert Shine,” was launched as thousands of South Koreans remained stranded across the Middle East due to widespread flight disruptions amid the expanding war between U.S.-Israeli forces and Iran.",B2,5.3197,False,chain|fibril|filament|string
fallout,fallout,NOUN,명사,/ˈfɔːlaʊt/,the radioactive particles that settle to the ground after a nuclear explosion,,,Authorities are also hammering out this year's first supplementary budget which they plan to submit to the National Assembly by the end of March as part of countermeasures to address the economic fallout from the conflict in the Middle East.,B2,5.3098,False,radioactive dust|side effect
disruptions,disruption,NOUN,명사,/dɪsˈɹʌpʃən/,an act of delaying or interrupting the continuity,,it was presented without commercial breaks,"The evacuation mission, codenamed “Desert Shine,” was launched as thousands of South Koreans remained stranded across the Middle East due to widespread flight disruptions amid the expanding war between U.S.-Israeli forces and Iran.",B2,5.2899,False,break|commotion|dislocation|disturbance|flutter|gap|hoo-ha|hoo-hah|hurly burly|interruption|kerfuffle|perturbation|to-do
evacuation,evacuation,NOUN,명사,,the act of removing the contents of something,,,"A South Korean military transport aircraft carrying evacuees from the Middle East arrived in Seoul on Sunday evening, marking the first airlift evacuation using a military plane since the Middle East conflict escalated last month.",B2,5.2596,True,elimination|emptying|excreting|excretion|voidance|voiding
noticeable,noticeable,ADJ,형용사,,capable or worthy of being perceived,,noticeable shadows under her eyes,"Looking ahead to the weekend, the weather becomes brighter and warmer, with sunny skies and highs climbing to around 16 to 18 degrees, signaling a more noticeable early spring feel.",B2,5.2503,False,detectable|obtrusive
cautious,cautious,ADJ,형용사,/ˈkɔːʃəs/,people who are fearful and cautious,,whitewater rafting is not for the timid,"Other countries have so far maintained a cautious stance,... including Japan, where its pacifist constitution limits its use of force.",B2,5.2097,False,conservative|timid
accompanied,accompany,VERB,동사,/ə.ˈkʌm.pə.ni/,be present or associated with an event or entity,,French fries come with the hamburger,"North Korea conducted a firepower strike drill using 600-millimeter ultra-precision multiple launch rocket systems,... with the participation of North Korean leader Kim Jong-un,... accompanied by his daughter Ju-ae,... according to the Korean Central News Agency on Sunday.",B2,5.1898,False,attach to|come with|companion|company|follow|go with|keep company|play along
