word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
KOSPI,kospi,NOUN,명사,,,,,"The benchmark KOSPI ended the session at 5,277.30, dropping nearly 3 percent from the previous trading day.",C2,7.5302,False,
gusty,gusty,NOUN,명사,,blowing in puffs or short intermittent blasts,,puffy off-shore winds,"Meanwhile, Jeju could see gusty winds, thunder, and lightning through tomorrow.",C1,6.4101,False,puffy
Jeju,jeju,ADJ,형용사,,,,,The April 3rd Massacre saw the deaths of thousands of Jeju residents between 1947 and 1954 amid a brutal government crackdown on protests against a separate general election in the south amid the Cold War era.,C1,6.2197,False,
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"The amount of rain will generally range from 5 to 50 millimeters, with heavier showers along the southern coast and on Jeju-do Island.",B2,5.8697,False,millimetre|mm
intermediaries,intermediary,NOUN,명사,,a negotiator who acts as a link between parties,,,"Iran's Foreign Ministry spokesperson Esmaeil Baghaei confirmed Monday that there had been no direct negotiations with the U.S., adding that all communications were limited to intermediaries.",B2,5.821,False,go-between|intercessor|intermediator|mediator
crackdown,crackdown,NOUN,명사,,severely repressive actions,,,The April 3rd Massacre saw the deaths of thousands of Jeju residents between 1947 and 1954 amid a brutal government crackdown on protests against a separate general election in the south amid the Cold War era.,B2,5.6498,False,
surpassing,surpass,VERB,동사,,distinguish oneself,,She excelled in math,"This already marks a new record, surpassing the group's previous peak of third place with ""Butter"" and ""Dynamite,"" respectively.",B2,5.6308,False,exceed|excel|go by|go past|outdo|outgo|outmatch|outperform|outstrip|pass|pass by|stand out|surmount|transcend|travel by
mountainous,mountainous,ADJ,형용사,,having hills and crags,,hilly terrain,"However, the mountainous areas and the east coast of Gangwon State, along with the east coast of Gyeongsangbuk-do Province, could see rain lasting into the afternoon.",B2,5.6198,False,cragged|craggy|hilly
liter,liter,NOUN,명사,/ˈliː.tə/,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)",,You should be able to fill four cups with one litre of water.,"As of Monday, the average gasoline price nationwide rose 0.7 percent from the previous day to 1,878 won,... or approximately 1.24 U.S. dollars, per liter.",B2,5.5406,False,cubic decimeter|cubic decimetre|l|litre
abolish,abolish,VERB,동사,,do away with,,Slavery was abolished in the mid-19th century in America and in Russia,he said the government will abolish the statute of limitations for criminal and civil cases related to state violence including the April 3rd Massacre to hold those responsible to account.,B2,5.52,False,get rid of
