word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
multipolar,multipolar,ADJ,형용사,/mʌltiˈpəʊlə/,An electromagnetic machine in which several magnetic poles exist.,,,"In a joint statement, China and Russia advocated for a multipolar world and a new type of international relations... with the warning that the world ""faces the risk of regressing to the law of the jungle.",C1,6.9914,False,
Data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,"Data released from the Ministry of Food and Drug Safety on Friday 
showed a trade surplus in cosmetic products exceeding 10 billion U.S. dollars.",C1,6.4802,False,data point
regressing,regress,VERB,동사,,the reasoning involved when you assume the conclusion is true and reason backward to the evidence,,,"In a joint statement, China and Russia advocated for a multipolar world and a new type of international relations... with the warning that the world ""faces the risk of regressing to the law of the jungle.",C1,6.3696,False,reasoning backward|regression|retrograde|retrogress|retrogression|retroversion|retrovert|return|reversion|revert|turn back
canvassed,canvass,VERB,동사,,the setting for a narrative or fictional or dramatic account,,the crowded canvas of history,"Party leader Jang Dong-hyeok canvassed southern Gyeonggi-do Province, while floor leader Song Eon-seog headed to Ulsan to rally conservative support in the south.",C1,6.1898,False,canvas|canvas tent|opinion poll|poll|public opinion poll|sail|sheet
solidify,solidify,VERB,동사,/səˈlɪdəˌfaɪ/,make solid or more solid; cause to solidify,,,"Party leader Jung Chung-rae visited the area for a second consecutive day, lending his support to candidates in Cheongju and Chungju, while floor leader Han Byung-do worked to solidify support in the traditionally friendly Jeolla-do region.",C1,6.0101,False,
battlegrounds,battleground,NOUN,명사,/ˈbætəlˌɡɹaʊnd/,a region where a battle is being (or has been) fought,,they made a tour of Civil War battlefields,"And We start with the top headlines at this hour
#1
With twelve days to go until South Korea's June 3rd local elections, both major parties are splitting their leadership across the country to shore up support in key battlegrounds.",B2,5.9318,False,battlefield|field|field of battle|field of honor
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"But, on Saturday, light rain of less than 5 millimeters is forecast for the east coast of Gyeongsangbuk-do Province and Jeju Island.",B2,5.8697,False,millimetre|mm
payouts,payout,NOUN,명사,,An amount of money paid out.,,,"The tentative 2026 wage deal includes a newly created special management performance bonus funded with 10-point-5 percent of agreed business performance earnings, with no ceiling on payouts.",B2,5.6402,False,
surpassed,surpass,VERB,동사,/sɚˈpæs/,distinguish oneself,,She excelled in math,"#5
The English version of the South Korean children's song ""Baby Shark"" has surpassed one billion streams on Spotify.",B2,5.6308,False,exceed|excel|go by|go past|outdo|outgo|outmatch|outperform|outstrip|pass|pass by|stand out|surmount|transcend|travel by
sprinkles,sprinkle,NOUN,명사,/ˈspɹɪŋkəl/,a light shower that falls in some locations and not others nearby,,He decorated the Christmas card with a sprinkle of glitter.,A few sprinkles may also develop across the capital area and Chungcheongnam-do Province.,B2,5.6108,False,disperse|dot|dust|patter|pitter-patter|scatter|scattering|sparge|spatter|spit|splash|splosh|sprinkling
tentative,tentative,ADJ,형용사,/ˈtɛntətɪv/,under terms not final or fully worked out or agreed upon,,probationary employees,"#2
A union vote began on Friday for a tentative wage and bonus agreement between Samsung Electronics' union and management, 
with the outcome set to determine whether the deal officially takes legal effect.",B2,5.5498,False,doubtful|probationary|provisional|provisionary
arrogance,arrogance,NOUN,명사,/ˈæɹ.oʊ.ɡəns/,overbearing pride evidenced by a superior manner toward inferiors,,,"Speaking at a party strategy meeting earlier in the day, Jang took aim at the Democratic Party, calling on voters to use this election to deliver a clear verdict on what he described as the ruling party's arrogance.",B2,5.4498,False,haughtiness|hauteur|high-handedness|lordliness
cosmetics,cosmetic,NOUN,명사,/kɒzˈmɛtɪk/,a toiletry designed to beautify the body,,,"#4
South Korea's cosmetics exports set a new milestone in 2025.",B2,5.2899,False,decorative|enhancive|ornamental
milestone,milestone,NOUN,명사,,stone post at side of a road to show distances,,,"#4
South Korea's cosmetics exports set a new milestone in 2025.",B2,5.2899,False,milepost
upward,upward,ADJ,형용사,/ˈʌpwəd/,directed up,,the cards were face upward,"After a slight dip in 2021, 
the industry has seen a consistent upward trend in the size of the surplus.",B2,5.2899,False,up|upwardly|upwards
negotiations,negotiation,NOUN,명사,/nɪˌɡəʊʃiˈeɪʃən/,a discussion intended to produce an agreement,,the buyout negotiation lasted several days,"If the proposal is rejected, labor and management 
will have to resume negotiations.",B2,5.2197,True,dialogue|talks
according,accord,VERB,동사,,harmony of people's opinions or actions or characters,,the two parties were in agreement,"That makes Baby Shark the first character intellectual property and children's song to join the platform's ""Billions Club"", according to Pinkfong Company on Friday.",B2,5.1898,False,accordance|agree|agreement|concord|conformity|consort|fit in|harmonise|harmonize|pact|treaty
