word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
tiered,tiere,VERB,동사,,having or arranged in tiers,,a tiered mound,"According to an industry official, fuel surcharges cannot be raised freely, as they are capped under a tiered system.",C2,7.4895,False,
modernise,modernise,VERB,동사,,become technologically advanced,,Many countries in Asia are now developing at a very fast pace,Another major focus is updating the Korea-EU FTA to modernise cooperation for the digital era.,C1,6.4802,False,develop|modernize|overhaul
downpours,downpour,NOUN,명사,/ˈdaʊn.pɔː(ɹ)/,a heavy rain,,They got caught in a downpour without an umbrella and came back soaked.,"Mountainous areas of Jeju Island could see over 100 millimeters of rain, with heavy downpours of 20 to 30 millimeters per hour at times.",C1,6.1701,False,cloudburst|deluge|pelter|soaker|torrent|waterspout
gusts,gust,NOUN,명사,/ɡʌst/,a strong current of air,,the tree was bent almost double by the gust,Strong winds are also expected on Jeju Island and along the southern coast with wind gusts reaching 15 to 20 meters per second.,B2,5.8996,False,blast|blow
multilateral,multilateral,ADJ,형용사,,having many parts or sides,,,"The initiative, co-chaired by French President Emmanuel Macron and British Prime Minister Keir Starmer, seeks a multilateral solution to secure passage through the Strait of Hormuz, one of the world's most vital shipping lanes.",B2,5.8996,True,many-sided
surcharges,surcharge,NOUN,명사,/ˈsɜː(ɹ)t͡ʃɑː(ɹ)d͡ʒ/,an additional charge (as for items previously omitted or as a penalty for failure to exercise common caution or common skill),,Our airline tickets cost twenty dollars more than we expected because we had to pay a fuel surcharge.,"As the U.S.-Iran war stretches beyond six weeks, fuel surcharges have jumped to record highs,... rising multiple times compared to before the war.",B2,5.8794,False,fleece|gazump|hook|overcharge|pluck|plume|rob|soak
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"Mountainous areas of Jeju Island could see over 100 millimeters of rain, with heavy downpours of 20 to 30 millimeters per hour at times.",B2,5.8697,False,millimetre|mm
mobilizing,mobilize,VERB,동사,,make ready for action or use,,marshal resources,Lee said the government is mobilizing all available resources and will remain fully prepared to protect public safety and the national interest.,B2,5.821,False,call up|circulate|marshal|mobilise|rally|summon
waterways,waterway,NOUN,명사,,a navigable body of water,,,"This is the first time South Korea has brought crude oil home via the Red Sea since the Strait of Hormuz was shut, opening a new supply route through one of the world's dangerous waterways.",B2,5.821,False,watercourse
ceasefire,ceasefire,NOUN,명사,,"In warfare, an agreed end to hostilities for a specific purpose. (Typically only temporary).",,The rebels agreed to a ceasefire while the peace talks were underway.,"2.
South Korea has welcomed a newly announced ceasefire between Israel and Lebanon, calling it a key step toward easing tensions in the Middle East.",B2,5.6799,True,
surpasses,surpass,VERB,동사,/sɚˈpæs/,distinguish oneself,,She excelled in math,This surpasses the previous peak of level 22 seen during the Russia-Ukraine war.,B2,5.6308,False,exceed|excel|go by|go past|outdo|outgo|outmatch|outperform|outstrip|pass|pass by|stand out|surmount|transcend|travel by
