word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
KOSPI,kospi,NOUN,명사,,,,,"The benchmark KOSPI spiked early trading and throughout the day went up 7 percent to return to the 5,800-point mark, closing at 5,872.34

1:05

#2 45
South Korea registered an all-time high current account surplus in February, driven by semiconductors and strong exports, continuing a streak of 34 consecutive months.",C2,7.5302,False,
data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,"According to data from the Bank of Korea released on Wednesday, the current account surplus totaled approximately 35 trillion won, or roughly 23-point-1-9 billion U.S. dollars.",C1,6.4802,False,data point
logistics,logistic,NOUN,명사,/lɒdʒˈɪs.tɪk/,of or relating to logistics,,logistic requirements,"As fuel costs continue to rise, President Lee Jae Myung today visited a local logistics hub and met truck drivers to hear about some of the problems they have been facing.",B2,5.8894,False,logistical
mediated,mediate,VERB,동사,/ˈmidi.ət/,act between parties with a view to reconciling differences,,He interceded in the family dispute,"Under the two-week ceasefire, heavily mediated by Pakistan, military escalation will be halted and the Strait of Hormuz will reopen.",B2,5.8697,False,arbitrate|in-between|intercede|intermediate|liaise|middle
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"Jejudo Island’s mountainous areas could see over 250 millimeters of rain, with more than 120 millimeters along the southern coast.",B2,5.8697,False,millimetre|mm
geopolitical,geopolitical,ADJ,형용사,,of or relating to geopolitics,,,Domestic equities also rallied on the geopolitical de-escalation.,B2,5.8508,True,
waterway,waterway,NOUN,명사,,a navigable body of water,,,He added that the U.S. will help ease the massive traffic buildup in the vital waterway.,B2,5.821,False,watercourse
prolonged,prolong,VERB,동사,/pɹoʊˈlɑŋ/,lengthen in time; cause to be or last longer,,We prolonged our stay,"This is 33.6 won lower than the day before after being mostly trapped above the critical 15-hundred threshold in recent weeks as Operation Epic Fury prolonged and investors turned to the safe-haven dollar, while global oil prices surged.",B2,5.7905,False,draw out|extend|keep up|protract|sustain
lingering,linger,VERB,동사,,remain present although waning or gradually dying,,Her perfume lingered on,"Moving to the weather forecast,
It felt more like early winter again today, with that lingering spring chill.",B2,5.6904,False,dawdle|footle|hang around|hover|lallygag|loaf|loiter|lollygag|lounge|lurk|mess about|mill about|mill around|tarry
ceasefire,ceasefire,NOUN,명사,,"In warfare, an agreed end to hostilities for a specific purpose. (Typically only temporary).",,The rebels agreed to a ceasefire while the peace talks were underway.,"Under the two-week ceasefire, heavily mediated by Pakistan, military escalation will be halted and the Strait of Hormuz will reopen.",B2,5.6799,True,
escalation,escalation,NOUN,명사,,an increase to counteract a perceived discrepancy,,higher wages caused an escalation of prices,"Under the two-week ceasefire, heavily mediated by Pakistan, military escalation will be halted and the Strait of Hormuz will reopen.",B2,5.6799,True,
buildup,buildup,NOUN,명사,,the act of building up an accumulation,,I envied his rapid buildup of assets,He added that the U.S. will help ease the massive traffic buildup in the vital waterway.,B2,5.6308,False,
surpasses,surpass,VERB,동사,/sɚˈpæs/,distinguish oneself,,She excelled in math,"This is a sharp increase from 13-point-2-6 billion dollars in January, and surpasses the previous record of 18-point-7 billion dollars set in December of last year.",B2,5.6308,False,exceed|excel|go by|go past|outdo|outgo|outmatch|outperform|outstrip|pass|pass by|stand out|surmount|transcend|travel by
mountainous,mountainous,ADJ,형용사,,having hills and crags,,hilly terrain,"Jejudo Island’s mountainous areas could see over 250 millimeters of rain, with more than 120 millimeters along the southern coast.",B2,5.6198,False,cragged|craggy|hilly
reopen,reopen,VERB,동사,,open again or anew,,They reopened the theater,"Under the two-week ceasefire, heavily mediated by Pakistan, military escalation will be halted and the Strait of Hormuz will reopen.",B2,5.58,False,
repayments,repayment,NOUN,명사,,the act of returning money received previously,,,"Other than a fuel price cap, the authorities plan to exempt certain highway toll fees at night and temporarily allow certain truck drivers to delay their debt repayments.",B2,5.5607,False,quittance|refund
truce,truce,NOUN,명사,/tɹuːs/,a state of peace agreed to between opponents so they can discuss peace terms,,,"U.S. President Donald Trump shortly after expressed an optimistic tone on his Truth Social platform on Tuesday, calling the newly reached truce a ""big day for world peace"" and predicting a ""Golden Age of the Middle East.""",B2,5.4802,False,armistice|cease-fire
semiconductors,semiconductor,NOUN,명사,,a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities,,,"The benchmark KOSPI spiked early trading and throughout the day went up 7 percent to return to the 5,800-point mark, closing at 5,872.34

1:05

#2 45
South Korea registered an all-time high current account surplus in February, driven by semiconductors and strong exports, continuing a streak of 34 consecutive months.",B2,5.4698,False,semiconducting material|semiconductor device|semiconductor unit
hardships,hardship,NOUN,명사,/ˈhɑːdˌʃɪp/,a state of misfortune or affliction,,debt-ridden farmers struggling with adversity,"The meeting was organized to hear about the hardships of businesses affected by the closure of the Strait of Hormuz, a crucial waterway for global oil supply.",B2,5.4401,False,adversity|asperity|grimness|hard knocks|rigor|rigorousness|rigour|rigourousness|severeness|severity
benchmark,benchmark,ADJ,형용사,,a standard by which something can be measured or judged,,his painting sets the benchmark of quality,"The benchmark KOSPI spiked early trading and throughout the day went up 7 percent to return to the 5,800-point mark, closing at 5,872.34

1:05

#2 45
South Korea registered an all-time high current account surplus in February, driven by semiconductors and strong exports, continuing a streak of 34 consecutive months.",B2,5.4001,True,bench mark
