word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
readjustment,readjustment,NOUN,명사,,the act of adjusting again (to changed circumstances),,,His remarks come amid a readjustment of power between the prosecution and police.,C1,6.7595,False,adjustment|registration
pullback,pullback,NOUN,명사,,a device (as a decorative loop of cord or fabric) for holding or drawing something back,,the draperies were drawn to the sides by pullbacks,The gains were largely driven by a pullback in oil prices.,C1,6.4802,False,tieback
prosecutorial,prosecutorial,ADJ,형용사,,Relating to prosecuting of criminal cases.,,Prosecutorial misconduct can lead to the lawyer's disbarment.,"4.
South Korea’s ruling Democratic Party plans to pass key legislation on prosecutorial reform at the upcoming plenary session.",C1,6.4001,False,
intraday,intraday,NOUN,명사,,Occurring during a single day.,,,"The KOSDAQ ended slightly lower, but saw an intraday rebound driven by net retail buying.",C1,6.3904,False,
airstrikes,airstrike,NOUN,명사,,An attack on a ground or naval target by one or more aircraft or missiles.,,,"Israeli Defense Minister Israel Katz has just announced that Ali Larijani, the Secretary of Iran's National Security Council, was killed in overnight airstrikes.",C1,6.02,False,
plenary,plenary,ADJ,형용사,/ˈpliːnəɹi/,full in all respects,,a plenary session of the legislature,"4.
South Korea’s ruling Democratic Party plans to pass key legislation on prosecutorial reform at the upcoming plenary session.",B2,5.8996,False,
spokeswoman,spokeswoman,NOUN,명사,,a female spokesperson,,,White House spokeswoman Karoline Leavitt said earlier in the day that the dates may be moved as Trump prioritizes overseeing the U.S. military operation against Iran.,B2,5.8794,False,
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"Heavier rain is expected along the southern coast, with up to 30 millimeters lasting into the night.",B2,5.8697,False,millimetre|mm
paramilitary,paramilitary,ADJ,형용사,/ˌpɛɹəˈmɪlɪˌtɛɹi/,a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops),,,"Meanwhile, the Israel Defense Forces say they have also killed Gholamreza Soleimani, the commander of Iran's Basij paramilitary force.",B2,5.8013,False,paramilitary force|paramilitary organisation|paramilitary organization|paramilitary unit
taper,taper,VERB,동사,,a convex shape that narrows toward a point,,,Most of the rain will taper off by the afternoon.,B2,5.699,False,candle|wax light|wick
instructed,instruct,VERB,동사,/ˌɪnˈstɹʌkt/,impart skills or knowledge to,,I taught them French,"He called on officials to supervise prices on-site to make sure the price cap is actually reflected at the gas pumps, and instructed them to swiftly organize an extra budget.",B2,5.6904,False,apprise|apprize|learn|teach
