word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
trilateral,trilateral,ADJ,형용사,,a three-sided polygon,,,Lee{이} and Takaichi also reaffirmed the importance of trilateral cooperation with the U.S. amid a rapidly changing international order.,C1,6.5702,False,three-sided|triangle|triangular|trigon
reaffirmed,reaffirm,VERB,동사,/ɹiːəˈfɜː(ɹ)m/,affirm once again,,He reaffirmed his faith in the church,Lee{이} and Takaichi also reaffirmed the importance of trilateral cooperation with the U.S. amid a rapidly changing international order.,C1,6.1701,False,
coexistence,coexistence,NOUN,명사,,existing peacefully together,,,"A ministry official told reporters at the Government Complex Seoul that 
""the expression 'peaceful two states' is one of the concepts the Unification Ministry has introduced to support peaceful coexistence between the two Koreas.",C1,6.1002,False,
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"In terms of rainfall, the mountainous areas of Jeju Island could see up to 120 millimeters.",B2,5.8697,False,millimetre|mm
reiterated,reiterate,VERB,동사,,"to say, state, or perform again",,She kept reiterating her request,"The official reiterated that ""this does not mean acknowledging North Korea as a legal state.",B2,5.8697,False,ingeminate|iterate|repeat|restate|retell
semifinal,semifinal,NOUN,명사,,one of the two competitions in the next to the last round of an elimination tournament,,,""" 

4.

A press conference was held earlier today at Suwon Sports Complex ahead of the AFC Women's Champions League semifinal between Suwon FC Women of South Korea and Naegohyang FC from North Korea.",B2,5.7595,False,semi
taper,taper,VERB,동사,,a convex shape that narrows toward a point,,,"By Thursday afternoon, most of the rain will taper off, and temperatures will start to rise again.",B2,5.699,False,candle|wax light|wick
unification,unification,NOUN,명사,,an occurrence that involves the production of a union,,,"The Ministry of Unification clarified on Tuesday that the phrase ""peaceful two states"" from this year's unification white paper is ""not the government's official position.""",B2,5.6402,False,conjugation|fusion|jointure|merger|union|uniting
mountainous,mountainous,ADJ,형용사,,having hills and crags,,hilly terrain,"In terms of rainfall, the mountainous areas of Jeju Island could see up to 120 millimeters.",B2,5.6198,False,cragged|craggy|hilly
etiquette,etiquette,NOUN,명사,/ˈɛtɪkɪt/,rules governing socially acceptable behavior,,,"Participants gathered at Namsangol Hanok Village to experience a tea ceremony and an etiquette classroom, taking their first steps toward practicing customs they had never known before.",B2,5.6003,False,
monumental,monumental,ADJ,형용사,/ˌmɒnjʊˈmɛntəl/,relating or belonging to or serving as a monument,,the use of the arch in monumental architecture,"For organization leaders who have dedicated their lives to supporting this community, this return represents a monumental chapter.",B2,5.5003,False,massive|monolithic
