word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
chipmakers,chipmaker,NOUN,명사,,A company that manufactures integrated circuit chips.,,,"Despite hopes for peace, experts remain cautious as any slowing demand for memory chipmakers, and high interest rates could bring short-term volatility to the market.",C2,7.3904,False,
hynix,hynix,NOUN,명사,,,,,"As a result, the nation's tech giants saw historic milestones, with Samsung Electronics crossing the 300-thousand won mark at one point and SK hynix surpassing two million won.",C2,7.1302,False,
symbolise,symbolise,VERB,동사,,represent or identify by using a symbol; use symbols,,The poet symbolizes love in this poem,the nuclear-powered submarines will symbolise South Korea's resolve... to resume responsibility... for peace and security... on the Korean Peninsula.,C1,6.51,False,represent|stand for|symbolize|typify
data,datum,NOUN,명사,/ˈdeɪtəm/,an item of factual information derived from measurement or research,,,Intelligence officials here... and their U.S. counterparts... shared relevant information... and tracked related movements... from the early stages of the launch... while exchanging data... with neighboring Japan... as well.,C1,6.4802,False,data point
IAEA,iaea,NOUN,명사,,the United Nations agency concerned with atomic energy,,,The submarines will use low-enriched uranium reactors... be built domestically... and remain under U.S. coordination and IAEA safeguards.,B2,5.9788,False,IAEA|International Atomic Energy Agency
gusts,gust,NOUN,명사,/ɡʌst/,a strong current of air,,the tree was bent almost double by the gust,"Mountainous areas of Jeju Island, currently under a strong wind advisory, could see wind gusts exceeding 25 meters per second through early tomorrow morning.",B2,5.8996,False,blast|blow
millimeters,millimeter,NOUN,명사,,a metric unit of length equal to one thousandth of a meter,,,"A heavy rain warning remains in effect for the mountainous areas of Jeju Island, where more than 250 millimeters is expected through tomorrow.",B2,5.8697,False,millimetre|mm
envisioned,envision,VERB,동사,,imagine; conceive of; see in one's mind,,I can't see him on horseback!,The plan was released by the Defense Ministry on this Tuesday... with the envisioned submarines... targeted... for launch in the mid-2030s... and deployment... in the late 2030s.,B2,5.8297,False,fancy|figure|foresee|image|picture|project|see|visualise|visualize
kilometers,kilometer,NOUN,명사,/kɪˈlɒmɪtə/,a metric unit of length equal to 1000 meters (or 0.621371 miles),,,the missiles were detected... at around 1PM... originating from North Korea's Jeongju area... in Pyonganbuk-do Province... and flew... some 80 kilometers.,B2,5.8097,False,kilometre|klick|km
provocation,provocation,NOUN,명사,/ˌpɹɒvəˈkeɪʃən/,unfriendly behavior that causes anger or resentment,,,"North Korea's first ballistic missile provocation... in 37 days… and its eighth ballistic missile launch... this year.

 

4.

U.S. Secretary of State Marco Rubio has signaled that Washington still wants to keep diplomacy alive with Iran.",B2,5.8097,False,aggravation|incitation|incitement|irritation
